###########################################################################################################################################
############################## Original galaxies and not in the final catalog (mainly NE and GB)############################################
###########################################################################################################################################
#        Name  |   RA   |   Dec   |    l   |   b   |v_hel |FLUX|w50|H1MASS|
ZOA_NE|J1906+07|19 06 53|+07 33 52|41.4198|0.0351|3095.0|5.16|138|9.4|
ZOA_NE|J1907+14|19 07 33|+14 02 54|47.2568|2.8681|7290.0|4.18|89|10.0|
ZOA_NE|J1908+05|19 08 26|+05 59 34|40.2015|-1.0299|4567.0|5.97|168|9.8|
ZOA_NE|J1912+13|19 12 39|+13 24 33|47.2597|1.4743|2774.0|7.09|102|9.4|
ZOA_NE|J1912+02|19 12 45|+02 56 32|37.9876|-3.3899|6541.0|15.23|470|10.5|
ZOA_NE|J1913+17|19 13 49|+17 35 31|51.1019|3.1589|4726.0|2.58|80|9.4|
ZOA_NE|J1913+16|19 13 59|+16 55 00|50.5205|2.8117|6263.0|11.47|539|10.3|
ZOA_NE|J1914+10|19 14 57|+10 17 47|44.7632|-0.4685|654.0|20.66|66|8.8|
ZOA_NE|J1917+07|19 17 27|+07 49 14|42.8586|-2.1671|3033.0|6.89|226|9.5|
ZOA_NE|J1917+04|19 17 38|+04 26 33|39.8846|-3.7774|6330.0|11.18|325|10.3|
ZOA_NE|J1918+16|19 18 38|+16 10 13|50.3776|1.4780|6639.0|7.08|165|10.1|
ZOA_NE|J1919+14|19 19 59|+14 04 01|48.6716|0.2050|2809.0|13.70|137|9.7|
ZOA_NE|J1921+14|19 21 36|+14 54 26|49.5973|0.2545|4080.0|6.56|72|9.7|
ZOA_NE|J1921+08|19 21 59|+08 16 59|43.7929|-2.9431|3115.0|5.97|100|9.4|
ZOA_NE|J1926+08|19 26 02|+08 16 09|44.2525|-3.8339|3088.0|2.62|67|9.1|
ZOA_NE|J1927+12|19 27 36|+12 19 20|48.0099|-2.2532|8604.0|5.38|138|10.2|
ZOA_NE|J1927+09|19 27 57|+09 26 51|45.5174|-3.6941|7920.0|1.69|48|9.7|
ZOA_NE|J1929+08|19 29 18|+08 03 55|44.4554|-4.6427|3097.0|19.08|195|9.9|
ZOA_NE|J1929+11|19 29 24|+11 36 44|47.5948|-2.9784|6331.0|5.78|351|10.0|
ZOA_NE|J1930+12|19 30 29|+12 12 07|48.2404|-2.9297|6684.0|6.07|213|10.1|
ZOA_NE|J1930+11|19 30 36|+11 18 53|47.4735|-3.3788|3174.0|3.11|108|9.2|
ZOA_NE|J1933+10|19 33 56|+10 42 35|47.3337|-4.3866|5255.0|6.67|240|9.9|
ZOA_NE|J1937+14|19 37 12|+14 42 55|51.2338|-3.1479|4485.0|3.20|59|9.5|
ZOA_NE|J1940+11|19 40 36|+11 54 18|49.1767|-5.2392|580.0|1.49|20|7.6|
